"""Institution""",State,HD2022.Level of institution,HD2022.Control of institution,SFA2122.Percent of full-time first-time undergraduates awarded any financial aid,"SFA2122.Average net price (income 0-30,000)-students awarded Title IV federal financial aid, 2021-22","SFA2122.Average net price (income 30,001-48,000)-students awarded Title IV federal financial aid, 2021-22","SFA2122.Average net price (income 48,001-75,000)-students awarded Title IV federal financial aid, 2021-22","SFA2122.Average net price (income 75,001-110,000)-students awarded Title IV federal financial aid, 2021-22","SFA2122.Average net price (income over 110,000)-students awarded Title IV federal financial aid, 2021-22",DRVIC2022.Total price for in-state students living on campus 2022-23,DRVIC2022.Total price for out-of-state students living on campus 2022-23,DRVADM2022.Percent admitted - total,SAT Composite 25th percentile score,SAT Composite 50th percentile score,SAT Composite 75th Percentile Score,ADM2022.ACT Composite 25th percentile score,ADM2022.ACT Composite 50th percentile score,ADM2022.ACT Composite 75th percentile score,national.html,artsandhumanities.html,businessandeconomics.html,clinicalandhealth.html,computerscience.html,education.html,engineering.html,law.html,lifesciences.html,physicalsciences.html,psychology.html,socialsciences.html,
"""Southern Arkansas University Tech""",Arkansas,At least 2 but less than 4 years,Public,95,3373,3393,4649,5888,8708,16771,16771,,0,0,0,,,,,,,,,,,,,,,,
"""University of Arkansas System Office""",Arkansas,Four or more years,Public,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Velvatex College of Beauty Culture""",Arkansas,Less than 2 years (below associate),Private for-profit,100,7606,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""University of Arkansas-Fort Smith""",Arkansas,Four or more years,Public,100,9197,9530,11055,13361,12307,21744,29016,,0,0,0,,,,,,,,,,,,,,,,
"""Academy of Art University""",California,Four or more years,Private for-profit,83,34401,34934,36946,41257,42519,50860,50860,,0,0,0,,,,,,,,,,,,,,,,
"""Academy of Chinese Culture and Health Sciences""",California,Four or more years,Private not-for-profit,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""College of Alameda""",California,At least 2 but less than 4 years,Public,84,12458,13175,16249,16909,12736,,,,0,0,0,,,,,,,,,,,,,,,,
"""Allan Hancock College""",California,At least 2 but less than 4 years,Public,96,3193,3395,6084,7663,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""American Academy of Dramatic Arts-Los Angeles""",California,At least 2 but less than 4 years,Private not-for-profit,95,42796,41705,43405,42538,41580,54630,54630,90,0,0,0,,,,,,,,,,,,,,,,
"""Berkeley School of Theology""",California,Four or more years,Private not-for-profit,,0,0,0,0,0,26444,26444,67,0,0,0,,,,,,,,,,,,,,,,
"""American Film Institute Conservatory""",California,Four or more years,Private not-for-profit,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""American Beauty College""",California,Less than 2 years (below associate),Private for-profit,88,23973,24052,23227,28840,30022,,,,0,0,0,,,,,,,,,,,,,,,,
"""American Career College-Los Angeles""",California,At least 2 but less than 4 years,Private for-profit,97,27319,28717,28110,30553,32478,,,,0,0,0,,,,,,,,,,,,,,,,
"""American Conservatory Theater""",California,Four or more years,Private not-for-profit,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""American River College""",California,At least 2 but less than 4 years,Public,88,4902,4941,7108,9139,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Antelope Valley Community College District""",California,Four or more years,Public,99,817,1034,3556,6269,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Art Center College of Design""",California,Four or more years,Private not-for-profit,57,42702,39973,51297,49593,56010,,,71,0,0,0,,,,,,,,,,,,,,,,
"""Associated Technical College-Los Angeles""",California,Less than 2 years (below associate),Private for-profit,100,23241,27357,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Associated Technical College-San Diego""",California,Less than 2 years (below associate),Private for-profit,94,21686,21415,22332,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Azusa Pacific University""",California,Four or more years,Private not-for-profit,99,18907,19768,19999,21048,28810,55820,55820,87,980,1110,1240,21,25,28,,,,,,,,,,,,,
"""Bakersfield College""",California,Four or more years,Public,95,5333,5855,7894,10313,5102,,,,0,0,0,,,,,,,,,,,,,,,,
"""Barstow Community College""",California,At least 2 but less than 4 years,Public,90,9441,7769,11752,13465,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Bellus Academy-Chula Vista""",California,At least 2 but less than 4 years,Private for-profit,95,19732,0,0,18312,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Bethesda University""",California,Four or more years,Private not-for-profit,81,20731,20598,22247,23040,23846,,,,0,0,0,,,,,,,,,,,,,,,,
"""Biola University""",California,Four or more years,Private not-for-profit,100,21611,23970,22929,29133,34864,59896,59896,57,1105,1250,1365,23,26,30,,,,,,,,,,,,,
"""Brownson Technical School""",California,Less than 2 years (below associate),Private for-profit,94,30829,31436,33497,36656,36754,,,,0,0,0,,,,,,,,,,,,,,,,
"""Bryan University""",Arizona,Four or more years,Private for-profit,90,17973,18063,18951,21202,23399,,,,0,0,0,,,,,,,,,,,,,,,,
"""Butte College""",California,At least 2 but less than 4 years,Public,100,5285,6860,9881,11675,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""California Institute of Integral Studies""",California,Four or more years,Private not-for-profit,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Cabrillo College""",California,At least 2 but less than 4 years,Public,82,13523,13656,17311,19025,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""California Baptist University""",California,Four or more years,Private not-for-profit,98,23235,22508,24711,27074,32829,53472,53472,80,0,0,0,,,,,,,,,,,,,,,,
"""California College of the Arts""",California,Four or more years,Private not-for-profit,91,29280,35316,34816,37923,53405,79961,79961,76,0,0,0,,,,,,,,,,,,,,,,
"""University of California-Hastings College of Law""",California,Four or more years,Public,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""California Institute of Technology""",California,Four or more years,Private not-for-profit,71,-1012,1721,4367,14886,48070,83598,83598,3,0,0,0,,,,5,,,,7,,5,,133,1,,,
"""California Lutheran University""",California,Four or more years,Private not-for-profit,100,20047,21172,22688,27900,37492,67805,67805,,1150,1230,1320,26,29,30,,,,,,,,,,,,,
"""California Polytechnic State University-San Luis Obispo""",California,Four or more years,Public,57,10117,10842,14619,22251,28119,29918,47828,30,0,0,0,,,,,,,,,,,,,,,,
"""Alliant International University-San Diego""",California,Four or more years,Private for-profit,,0,0,0,0,0,,,0,0,0,0,,,,,,,,,,,,,,,,
"""California State University-Bakersfield""",California,Four or more years,Public,90,4906,5530,8273,13002,16814,26361,38241,87,0,0,0,,,,,,,,,,,,,,,,
"""California State University-Stanislaus""",California,Four or more years,Public,89,3513,4109,7258,10948,14824,23641,35521,97,0,0,0,,,,,,,,,,,,,,,,
"""California State University-Chancellors Office""",California,Four or more years,Public,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""California State University-San Bernardino""",California,Four or more years,Public,89,5949,6490,8999,12729,16487,25701,37581,91,0,0,0,,,,,,,,,,,,,,,,
"""California State Polytechnic University-Pomona""",California,Four or more years,Public,77,7832,9321,12143,16173,20173,28109,39989,55,0,0,0,,,,,,,,,,,,,,,,
"""California State University-Chico""",California,Four or more years,Public,72,10716,11375,14988,19506,23714,26728,38608,95,0,0,0,,,,,,,,,,,,,,,,
"""California State University-Dominguez Hills""",California,Four or more years,Public,91,3021,3518,6052,9962,5606,27591,39471,89,0,0,0,,,,,,,,,,,,,,,,
"""California State University-Fresno""",California,Four or more years,Public,89,4638,5206,8131,12374,15989,22889,34769,95,0,0,0,,,,,,,,,,,,,,,,
"""California State University-Fullerton""",California,Four or more years,Public,80,4386,5062,7821,12413,15867,27831,39711,67,0,0,0,,,,,,,,,,,,,,,,
"""California State University-East Bay""",California,Four or more years,Public,80,7943,8968,11872,15742,19432,27959,39839,96,0,0,0,,,,,,,,,,,,,,,,
"""California State University-Long Beach""",California,Four or more years,Public,80,5409,6074,9532,13656,17677,26182,38062,40,0,0,0,,,,,,,,,,,,,,,,
"""California State University-Los Angeles""",California,Four or more years,Public,92,3717,4294,7289,10510,15213,30689,42569,87,0,0,0,,,,,,,,,,,,,,,,
"""California State University-Northridge""",California,Four or more years,Public,85,5865,6553,10150,14276,18110,23707,35587,91,0,0,0,,,,,,,,,,,,,,,,
"""California State University-Sacramento""",California,Four or more years,Public,82,7900,8563,11829,16182,19866,28726,40606,93,0,0,0,,,,,,,,,,,,,,,,
"""University of California-Berkeley""",California,Four or more years,Public,60,9236,10294,14213,22151,36217,43043,73115,11,0,0,0,,,,6,4,4,6,6,1,4,5,132,5,45,,
"""University of California-Davis""",California,Four or more years,Public,63,9089,10258,13232,18376,31575,38556,68628,37,0,0,0,,,,24,44,24,25,37,48,29,37,142,35,1936,,
"""University of California-Irvine""",California,Four or more years,Public,80,7621,8139,11095,17614,29565,37289,67361,21,0,0,0,,,,34,29,52,43,29,18,33,16,36,32,2138,,
"""University of California-Los Angeles""",California,Four or more years,Public,57,8849,10440,13335,19395,30301,36980,67052,9,0,0,0,,,,12,9,12,8,11,5,8,12,139,10,911,,
"""University of California-Riverside""",California,Four or more years,Public,79,9169,10190,13271,19019,29379,37226,67298,69,0,0,0,,,,68,65,111,66,41,57,45,,41,47,6282,,
"""University of California-San Diego""",California,Four or more years,Public,61,9055,10263,13639,20297,30300,37040,67112,24,0,0,0,,,,20,21,16,13,19,19,20,,140,19,2223,,
"""University of California-San Francisco""",California,Four or more years,Public,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""University of California-Santa Barbara""",California,Four or more years,Public,59,8839,10859,13464,18987,31659,37902,67974,26,0,0,0,,,,28,25,,,27,36,21,,37,17,3632,,
"""University of California-Santa Cruz""",California,Four or more years,Public,74,10344,11034,14732,22359,32929,38712,68784,47,0,0,0,,,,57,45,,,52,52,55,,42,40,6353,,
"""Sofia University""",California,Four or more years,Private for-profit,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""California Beauty School""",California,Less than 2 years (below associate),Private for-profit,81,8353,8353,9186,0,12683,,,,0,0,0,,,,,,,,,,,,,,,,
"""California Christian College""",California,Four or more years,Private not-for-profit,,0,0,0,0,0,,,100,0,0,0,,,,,,,,,,,,,,,,
"""Haven University""",California,Four or more years,Private not-for-profit,0,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""California Hair Design Academy""",California,Less than 2 years (below associate),Private for-profit,97,25212,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""California Institute of the Arts""",California,Four or more years,Private not-for-profit,59,38505,42852,50135,50074,63192,78710,78710,25,0,0,0,,,,,,,,,,,,,,,,
"""California State University Maritime Academy""",California,Four or more years,Public,62,11717,18405,11566,19847,26154,27079,38959,96,0,0,0,,,,,,,,,,,,,,,,
"""California Western School of Law""",California,Four or more years,Private not-for-profit,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Canada College""",California,At least 2 but less than 4 years,Public,80,714,831,5478,6356,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""College of the Canyons""",California,At least 2 but less than 4 years,Public,87,3079,3780,6098,7745,8413,,,,0,0,0,,,,,,,,,,,,,,,,
"""Career Academy of Beauty""",California,Less than 2 years (below associate),Private for-profit,69,22699,25412,22180,26177,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Casa Loma College-Los Angeles""",California,Four or more years,Private not-for-profit,90,13052,13602,16252,20097,20097,,,40,0,0,0,,,,,,,,,,,,,,,,
"""CET-San Diego""",California,Less than 2 years (below associate),Private not-for-profit,71,17967,18093,21181,23082,25418,,,,0,0,0,,,,,,,,,,,,,,,,
"""CET-San Jose""",California,Less than 2 years (below associate),Private not-for-profit,72,15507,14688,17956,20418,21926,,,,0,0,0,,,,,,,,,,,,,,,,
"""CET-El Centro""",California,Less than 2 years (below associate),Private not-for-profit,96,16951,16202,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""CET-Colton""",California,Less than 2 years (below associate),Private not-for-profit,77,14266,16519,16852,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""CET-Watsonville""",California,Less than 2 years (below associate),Private not-for-profit,79,11075,0,4381,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""CET-Salinas""",California,Less than 2 years (below associate),Private not-for-profit,92,5940,9183,6321,13152,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Cerritos College""",California,At least 2 but less than 4 years,Public,87,1357,2500,4304,6307,8226,,,,0,0,0,,,,,,,,,,,,,,,,
"""Cerro Coso Community College""",California,At least 2 but less than 4 years,Public,75,9797,9971,7299,14002,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Chabot College""",California,At least 2 but less than 4 years,Public,80,4977,6203,8612,9512,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Chaffey College""",California,At least 2 but less than 4 years,Public,96,10591,11718,13922,14254,15789,,,,0,0,0,,,,,,,,,,,,,,,,
"""Chapman University""",California,Four or more years,Private not-for-profit,89,33467,31197,35244,39808,53059,82546,82546,73,1200,1300,1400,26,29,31,142,,113,102,,78,,,,148,124112,,
"""Charles R Drew University of Medicine and Science""",California,Four or more years,Private not-for-profit,73,25667,31879,35129,0,0,,,80,0,0,0,,,,,,,,,,,,,,,,
"""Concordia University-Irvine""",California,Four or more years,Private not-for-profit,100,22680,22987,25934,28074,34097,57420,57420,69,0,0,0,,,,,,,,,,,,,,,,
"""San Diego Christian College""",California,Four or more years,Private not-for-profit,100,35393,37063,40290,38774,40290,43300,43300,,0,0,0,,,,,,,,,,,,,,,,
"""Church Divinity School of the Pacific""",California,Four or more years,Private not-for-profit,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Citrus College""",California,At least 2 but less than 4 years,Public,80,2801,3908,5842,7799,9302,,,,0,0,0,,,,,,,,,,,,,,,,
"""Citrus Heights Beauty College""",California,Less than 2 years (below associate),Private for-profit,100,28242,31642,29397,31230,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""City College of San Francisco""",California,At least 2 but less than 4 years,Public,100,5664,7112,8778,10224,8181,,,,0,0,0,,,,,,,,,,,,,,,,
"""Claremont Graduate University""",California,Four or more years,Private not-for-profit,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Claremont McKenna College""",California,Four or more years,Private not-for-profit,53,8000,8341,19161,19384,52737,82127,82127,10,1440,1510,1550,33,34,35,,,,,,,,,,,,,
"""Milan Institute-Visalia""",California,Less than 2 years (below associate),Private for-profit,84,21226,21097,22342,25624,25987,,,,0,0,0,,,,,,,,,,,,,,,,
"""Clovis Adult Education""",California,Less than 2 years (below associate),Public,37,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Coast Community College District Office""",California,At least 2 but less than 4 years,Public,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Coastline Community College""",California,At least 2 but less than 4 years,Public,72,10365,11146,9560,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""University of Silicon Valley""",California,Four or more years,Private for-profit,88,28948,25510,29322,28177,32425,44981,44981,65,0,0,0,,,,,,,,,,,,,,,,
"""Coba Academy""",California,Less than 2 years (below associate),Private for-profit,79,15484,17678,16584,19547,19547,,,,0,0,0,,,,,,,,,,,,,,,,
"""Western University of Health Sciences""",California,Four or more years,Private not-for-profit,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Columbia College""",California,At least 2 but less than 4 years,Public,71,2989,3576,9104,12971,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Columbia College Hollywood""",California,Four or more years,Private not-for-profit,91,31857,32647,35744,35076,32215,,,,0,0,0,,,,,,,,,,,,,,,,
"""Compton College""",California,At least 2 but less than 4 years,Public,91,2806,1738,4293,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Contra Costa Community College District Office""",California,At least 2 but less than 4 years,Public,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Contra Costa College""",California,At least 2 but less than 4 years,Public,82,5570,6452,7639,11234,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Cosumnes River College""",California,At least 2 but less than 4 years,Public,90,3247,4073,6519,7496,8562,,,,0,0,0,,,,,,,,,,,,,,,,
"""Crafton Hills College""",California,At least 2 but less than 4 years,Public,54,11740,12320,15664,17063,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Cuesta College""",California,At least 2 but less than 4 years,Public,87,9435,8117,11860,14165,16585,,,,0,0,0,,,,,,,,,,,,,,,,
"""Cuyamaca College""",California,At least 2 but less than 4 years,Public,92,4633,5107,7253,11321,12502,,,,0,0,0,,,,,,,,,,,,,,,,
"""Cypress College""",California,Four or more years,Public,87,4394,5316,8327,10362,13843,,,,0,0,0,,,,,,,,,,,,,,,,
"""De Anza College""",California,At least 2 but less than 4 years,Public,72,4000,5393,7928,9521,11577,,,,0,0,0,,,,,,,,,,,,,,,,
"""International School of Beauty Inc""",California,Less than 2 years (below associate),Private for-profit,60,18039,15976,18751,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Dell'Arte International School of Physical Theatre""",California,Less than 2 years (below associate),Private not-for-profit,100,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""College of the Desert""",California,At least 2 but less than 4 years,Public,86,10374,10899,13258,15422,10850,,,,0,0,0,,,,,,,,,,,,,,,,
"""Design Institute of San Diego""",California,Four or more years,Private for-profit,100,33308,0,0,35011,36656,,,100,0,0,0,,,,,,,,,,,,,,,,
"""Dharma Realm Buddhist University""",California,Four or more years,Private not-for-profit,100,0,0,0,0,0,32200,32200,55,0,0,0,,,,,,,,,,,,,,,,
"""Diablo Valley College""",California,At least 2 but less than 4 years,Public,70,4483,5801,7996,9867,8528,,,,0,0,0,,,,,,,,,,,,,,,,
"""Dominican University of California""",California,Four or more years,Private not-for-profit,92,44440,45087,44771,48465,53080,69189,69189,93,1088,1175,1236,23,25,25,,,,,,,,,,,,,
"""Dominican School of Philosophy & Theology""",California,Four or more years,Private not-for-profit,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""East Los Angeles College""",California,At least 2 but less than 4 years,Public,92,10748,11510,13786,16333,16944,,,,0,0,0,,,,,,,,,,,,,,,,
"""El Camino Community College District""",California,At least 2 but less than 4 years,Public,78,2635,2880,6658,8902,8089,,,,0,0,0,,,,,,,,,,,,,,,,
"""Emperor's College of Traditional Oriental Medicine""",California,Four or more years,Private for-profit,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Empire College""",California,Four or more years,Private for-profit,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Evergreen Valley College""",California,At least 2 but less than 4 years,Public,79,14206,15480,18857,19853,17956,,,,0,0,0,,,,,,,,,,,,,,,,
"""FIDM-Fashion Institute of Design & Merchandising""",California,Four or more years,Private for-profit,65,39297,39041,41150,45431,46247,,,42,0,0,0,,,,,,,,,,,,,,,,
"""Feather River Community College District""",California,Four or more years,Public,97,5195,5211,6965,9975,14389,16747,24817,,0,0,0,,,,,,,,,,,,,,,,
"""Federico Beauty Institute""",California,Less than 2 years (below associate),Private for-profit,70,26766,27777,29898,31165,31807,,,,0,0,0,,,,,,,,,,,,,,,,
"""Fielding Graduate University""",California,Four or more years,Private not-for-profit,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Five Branches University""",California,Four or more years,Private for-profit,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Redondo Beach Beauty College""",California,Less than 2 years (below associate),Private for-profit,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Foothill College""",California,Four or more years,Public,67,6477,9078,10703,12354,12707,,,,0,0,0,,,,,,,,,,,,,,,,
"""Franciscan School of Theology""",California,Four or more years,Private not-for-profit,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Fredrick and Charles Beauty College""",California,Less than 2 years (below associate),Private for-profit,63,12677,13568,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Fresno City College""",California,At least 2 but less than 4 years,Public,92,2802,2978,5590,8193,9756,,,,0,0,0,,,,,,,,,,,,,,,,
"""Fresno Pacific University""",California,Four or more years,Private not-for-profit,100,12482,12004,15654,16669,20686,47115,47115,75,0,0,0,,,,,,,,,,,,,,,,
"""Foothill-De Anza Community College District""",California,Four or more years,Public,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Fuller Theological Seminary""",California,Four or more years,Private not-for-profit,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
