Institution,State,IC2022.Typical room charge for academic year,IC2022.Typical board charge for academic year,IC2022.Combined charge for room and board,DRVEF2022.Percent of first-time undergraduates - in-state,DRVEF2022.Percent of first-time undergraduates - out-of-state,DRVEF2022.Percent of first-time undergraduates - foreign countries,"SFA2122.Percent of undergraduate students awarded federal, state, local, institutional or other sources of grant aid","SFA2122.Average net price-students awarded grant or scholarship aid, 2021-22","SFA2122.Average net price (income 0-30,000)-students awarded Title IV federal financial aid, 2021-22","SFA2122.Average net price (income 30,001-48,000)-students awarded Title IV federal financial aid, 2021-22","SFA2122.Average net price (income 48,001-75,000)-students awarded Title IV federal financial aid, 2021-22","SFA2122.Average net price (income 75,001-110,000)-students awarded Title IV federal financial aid, 2021-22","SFA2122.Average net price (income over 110,000)-students awarded Title IV federal financial aid, 2021-22","SFA2122.Average net price-students awarded grant or scholarship aid, 2021-22","SFA2122.Average net price (income 0-30,000)-students awarded Title IV federal financial aid, 2021-22","SFA2122.Average net price (income 30,001-48,000)-students awarded Title IV federal financial aid, 2021-22","SFA2122.Average net price (income 48,001-75,000)-students awarded Title IV federal financial aid, 2021-22","SFA2122.Average net price (income 75,001-110,000)-students awarded Title IV federal financial aid, 2021-22","SFA2122.Average net price (income over 110,000)-students awarded Title IV federal financial aid, 2021-22",DRVADM2022.Percent admitted - total,DRVADM2022.Admissions yield - total,"DRVIC2022.Tuition and fees, 2022-23",DRVIC2022.Total price for in-state students living on campus 2022-23,DRVIC2022.Total price for out-of-state students living on campus 2022-23,HD2022.Sector of institution,HD2022.Level of institution,HD2022.Control of institution,DRVEF2022.Percent of total enrollment that are American Indian or Alaska Native,DRVEF2022.Percent of total enrollment that are Asian,DRVEF2022.Percent of total enrollment that are Black or African American,DRVEF2022.Percent of total enrollment that are Hispanic/Latino,DRVEF2022.Percent of total enrollment that are Native Hawaiian or Other Pacific Islander,DRVEF2022.Percent of total enrollment that are White,DRVEF2022.Percent of total enrollment that are U.S. Nonresident,DRVEF2022.Percent of total enrollment that are Asian/Native Hawaiian/Pacific Islander,"DRVGR2022.Graduation rate, total cohort","DRVGR2022.Graduation rate, American Indian or Alaska Native","DRVGR2022.Graduation rate, Asian/Native Hawaiian/Other Pacific Islander","DRVGR2022.Graduation rate, Asian","DRVGR2022.Graduation rate, Native Hawaiian or Other Pacific Islander","DRVGR2022.Graduation rate, Black, non-Hispanic","DRVGR2022.Graduation rate, Hispanic","DRVGR2022.Graduation rate, White, non-Hispanic","DRVGR2022.Graduation rate, U.S. Nonresident",SFA2122.Percent of full-time first-time undergraduates awarded any financial aid,"SFA2122.Average amount of federal, state, local or institutional grant aid awarded",ADM2022.SAT Evidence-Based Reading and Writing 25th percentile score,ADM2022.SAT Evidence-Based Reading and Writing 50th percentile score,ADM2022.SAT Evidence-Based Reading and Writing 75th percentile score,ADM2022.SAT Math 25th percentile score,ADM2022.SAT Math 50th percentile score,ADM2022.SAT Math 75th percentile score,ADM2022.ACT Composite 25th percentile score,ADM2022.ACT Composite 50th percentile score,ADM2022.ACT Composite 75th percentile score,ADM2022.ACT English 25th percentile score,ADM2022.ACT English 50th percentile score,ADM2022.ACT English 75th percentile score,ADM2022.ACT Math 25th percentile score,ADM2022.ACT Math 50th percentile score,ADM2022.ACT Math 75th percentile score
Charles of Italy Beauty College,Arizona,,,,80,9,0,59,,,,,,,11932,12113,10499,16199,,,,,,,,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,0,1,5,24,0,44,0,1,74,,,,,,,,,62,4004,,,,,,,,,,,,,,,
Cochise County Community College District,Arizona,,,7462,89,7,4,98,7759,6396,6847,9181,11814,12971,,,,,,,,,2184,14237,18053,"Public, 2-year",At least 2 but less than 4 years,Public,1,2,5,47,0,38,2,2,25,0,0,0,0,17,25,26,28,100,6585,,,,,,,,,,,,,,,
Empire Beauty School-Chandler,Arizona,,,,100,0,0,71,,,,,,,15873,15628,16398,,,20240,,,,,,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,7,3,25,20,0,15,0,3,36,,,,,,,,,96,4398,,,,,,,,,,,,,,,
Avalon Institute-Mesa,Arizona,,,,98,2,0,53,,,,,,,18191,17358,17975,14838,,,,,,,,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,2,2,13,33,1,46,0,2,65,,,,,,,,,93,3411,,,,,,,,,,,,,,,
Eastern Arizona College,Arizona,3700,4000,,93,6,2,35,8594,5577,6312,7465,10517,11548,,,,,,,,,2232,14918,21878,"Public, 2-year",At least 2 but less than 4 years,Public,6,1,1,23,0,64,1,1,49,42,33,60,0,46,56,48,57,78,8834,,,,,,,,,,,,,,,
Embry-Riddle Aeronautical University-Prescott,Arizona,7900,5260,,23,71,3,90,,,,,,,38909,34045,34360,35777,39812,38784,68,31,40464,60158,60158,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,1,6,2,15,1,57,9,7,71,67,74,73,100,33,61,76,74,97,20536,580,630,680,590,640,700,24,27,31,22,26,30,24,27,30
The School of Architecture,Arizona,7800,,,,,,,,,,,,,,,,,,,,,,,,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,0,0,0,0,67,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Glendale Community College,Arizona,,,,99,0,0,95,11359,9765,10211,12179,14710,16231,,,,,,,,,2070,,,"Public, 2-year",At least 2 but less than 4 years,Public,1,5,6,41,0,39,1,5,12,11,17,16,50,9,11,14,21,100,4484,,,,,,,,,,,,,,,
Grand Canyon University,Arizona,5400,3900,,25,74,1,80,,,,,,,21939,18207,19313,21977,23915,23879,78,37,17800,32100,32100,"Private for-profit, 4-year or above",Four or more years,Private for-profit,1,3,19,21,1,47,1,4,45,26,55,62,36,41,43,47,,99,9662,,,,,,,,,,,,,,,
Maricopa Community College System Office,Arizona,,,,,,,,,,,,,,,,,,,,,,,,,Administrative Unit,At least 2 but less than 4 years,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GateWay Community College,Arizona,,,,99,0,0,90,12786,11696,11616,15507,15848,14463,,,,,,,,,2070,,,"Public, 2-year",At least 2 but less than 4 years,Public,3,3,10,54,0,25,0,3,19,8,80,75,100,32,18,14,,99,4418,,,,,,,,,,,,,,,
Mesa Community College,Arizona,,,,96,2,0,91,12360,11062,11758,13346,15329,17056,,,,,,,,,2070,,,"Public, 2-year",At least 2 but less than 4 years,Public,3,4,5,34,0,45,1,4,13,9,15,16,11,9,10,15,19,100,3405,,,,,,,,,,,,,,,
Mohave Community College,Arizona,,,,89,11,0,45,5576,4398,5730,7786,9477,10730,,,,,,,,,2136,,,"Public, 2-year",At least 2 but less than 4 years,Public,2,2,1,27,0,61,1,2,26,0,,,,33,24,28,,72,5708,,,,,,,,,,,,,,,
Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division,Arizona,,,,23,77,0,78,,,,,,,20071,19385,21755,22104,24423,25149,,,,,,"Private for-profit, 2-year",At least 2 but less than 4 years,Private for-profit,2,0,5,17,0,57,0,1,58,50,80,67,100,50,58,58,100,92,5405,,,,,,,,,,,,,,,
Dine College,Arizona,1280,2960,,88,12,0,52,11266,11038,11477,11700,12200,,,,,,,,,,1410,12700,12700,"Public, 4-year or above",Four or more years,Public,98,0,0,0,0,1,0,0,18,18,,,,,,0,,91,2561,,,,,,,,,,,,,,,
Northern Arizona University,Arizona,6180,5548,,73,26,1,97,17115,11429,12812,15667,18968,20069,,,,,,,80,16,12274,29202,44464,"Public, 4-year or above",Four or more years,Public,3,3,3,25,0,55,3,3,59,33,67,72,39,42,55,63,50,100,11865,,,,,,,,,,,,,,,
Northland Pioneer College,Arizona,,,,100,0,0,60,10593,9805,12767,11534,,,,,,,,,,,2428,,,"Public, 2-year",At least 2 but less than 4 years,Public,28,1,0,16,0,41,0,1,8,11,0,0,0,0,0,6,,76,4436,,,,,,,,,,,,,,,
Ottawa University-Phoenix,Arizona,,,,,,,45,,,,,,,,,,,,,,,,,,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phoenix College,Arizona,,,,98,0,0,91,11555,10408,10847,13490,15241,,,,,,,,,,2070,,,"Public, 2-year",At least 2 but less than 4 years,Public,2,3,8,59,0,22,1,3,12,9,0,0,,9,13,16,0,99,5001,,,,,,,,,,,,,,,
Pima Community College,Arizona,,,,94,3,0,24,3523,2498,3476,5530,7533,8742,,,,,,,,,2298,,,"Public, 2-year",At least 2 but less than 4 years,Public,2,3,5,48,0,36,1,3,18,4,17,19,9,17,18,21,,68,5174,,,,,,,,,,,,,,,
Pima Medical Institute-Tucson,Arizona,,,,99,1,0,62,,,,,,,,,,,,,,,,,,"Private for-profit, 4-year or above",Four or more years,Private for-profit,2,5,10,39,1,33,0,6,69,63,93,92,100,55,70,73,,92,4821,,,,,,,,,,,,,,,
Pima Medical Institute-Albuquerque,New Mexico,,,,100,0,0,70,,,,,,,19171,19540,23289,,13649,,,,,,,"Private for-profit, 2-year",At least 2 but less than 4 years,Private for-profit,20,2,2,50,1,16,0,3,46,33,0,0,,50,52,45,,92,7133,,,,,,,,,,,,,,,
Prescott College,Arizona,6990,2054,,27,73,0,92,,,,,,,25317,18916,23277,33391,24564,29994,98,18,35450,47697,47697,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,1,3,4,5,0,67,0,3,55,50,,,,100,50,57,100,100,20149,,,,,,,,,,,,,,,
Refrigeration School Inc,Arizona,,,,97,3,0,70,,,,,,,24120,24006,24182,26139,28955,29643,,,,,,"Private for-profit, 2-year",At least 2 but less than 4 years,Private for-profit,16,1,13,35,1,31,0,2,61,60,86,100,60,44,64,62,,92,5022,,,,,,,,,,,,,,,
Rio Salado College,Arizona,,,,85,12,2,90,6834,6249,9814,8651,11938,4711,,,,,,,,,2070,,,"Public, 2-year",At least 2 but less than 4 years,Public,1,4,6,28,0,51,0,5,10,0,0,0,,0,12,15,,96,2327,,,,,,,,,,,,,,,
Roberto-Venn School of Luthiery,Arizona,,,,0,100,0,17,,,,,,,24689,26594,,,,,,,,,,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,4,4,0,4,0,89,0,4,95,,,,,,,,,36,2381,,,,,,,,,,,,,,,
Scottsdale Community College,Arizona,,,,99,0,0,86,13627,11832,12706,15001,16230,18529,,,,,,,,,2070,,,"Public, 2-year",At least 2 but less than 4 years,Public,3,4,4,26,0,54,1,4,22,14,27,27,,11,15,25,42,97,3108,,,,,,,,,,,,,,,
South Mountain Community College,Arizona,,,,98,1,0,91,11676,10208,10804,13113,15570,12731,,,,,,,,,2070,,,"Public, 2-year",At least 2 but less than 4 years,Public,3,3,12,58,0,16,0,3,17,13,33,20,100,6,18,33,0,99,4823,,,,,,,,,,,,,,,
Arizona Christian University,Arizona,5100,6500,,47,49,4,92,,,,,,,28755,24298,26066,30446,31393,30955,70,33,31650,50950,50950,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,1,2,10,26,1,49,3,2,45,0,,,,45,35,55,50,100,19174,,,,,,,,,,,,,,,
Universal Technical Institute of Arizona Inc,Arizona,,,,48,52,0,76,,,,,,,23191,23338,22932,25908,28521,29098,,,,,,"Private for-profit, 2-year",At least 2 but less than 4 years,Private for-profit,4,2,3,32,3,37,0,5,50,43,48,38,55,35,45,53,,93,6228,,,,,,,,,,,,,,,
Yavapai College,Arizona,,,10520,94,6,0,65,7217,4830,5306,7899,8590,1002,,,,,,,,,2680,16792,23452,"Public, 2-year",At least 2 but less than 4 years,Public,2,1,1,21,0,66,0,1,39,8,50,67,33,11,38,41,75,82,5714,,,,,,,,,,,,,,,
University of Arkansas at Little Rock,Arkansas,5180,3750,,90,10,0,59,11173,14678,16019,18993,20744,21300,,,,,,,61,25,8366,24837,35428,"Public, 4-year or above",Four or more years,Public,1,2,22,3,0,54,7,2,42,33,74,74,,31,46,42,75,99,10494,480,550,620,490,530,600,18,21,24,18,21,25,16,19,24
University of Arkansas for Medical Sciences,Arkansas,7800,,,,,,99,,,,,,,,,,,,,,,,,,"Public, 4-year or above",Four or more years,Public,0,8,10,7,0,64,3,8,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkansas Baptist College,Arkansas,4738,4088,,26,70,1,76,,,,,,,7164,7915,7189,8651,9172,20244,,,8760,23060,23060,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,0,84,8,0,3,1,0,8,,0,0,,8,20,13,,85,15560,,,,,,,,,,,,,,,
Arkansas Beauty School-Little Rock,Arkansas,,,,100,0,0,65,,,,,,,23739,23739,,,,,,,,,,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,0,0,92,6,0,2,0,0,100,,,,,,,,,93,4933,,,,,,,,,,,,,,,
Arkansas Beauty College,Arkansas,,,,100,0,0,76,,,,,,,10707,10421,12716,9678,12226,,,,,,,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,3,7,7,7,0,76,0,7,48,,,,,,,,,73,4117,,,,,,,,,,,,,,,
Lyon College,Arkansas,5770,5760,,55,42,0,99,,,,,,,25545,21673,20562,23598,30162,27780,60,18,31000,45750,45750,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,1,1,6,3,0,51,7,1,38,33,60,60,,8,54,40,0,100,19072,,,,,,,,,,,,,,,
Arkansas Technical School,Arkansas,,,,100,0,0,100,,,,,,,23973,23683,,,,,,,,,,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,0,2,83,2,0,13,0,2,0,,,,,,,,,100,4647,,,,,,,,,,,,,,,
Arthur's Beauty College,Arkansas,,,,,,,75,,,,,,,14584,15011,,,,,,,,,,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,6,6,25,0,0,63,0,6,63,,,,,,,,,100,3955,,,,,,,,,,,,,,,
University of Arkansas,Arkansas,7968,4400,,39,60,0,59,16208,11556,12575,15514,18867,20093,,,,,,,79,34,9656,28300,46054,"Public, 4-year or above",Four or more years,Public,1,3,5,10,0,72,4,3,69,56,72,74,20,62,63,70,77,77,8474,520,560,610,510,550,610,21,24,28,21,24,29,19,23,26
University of Arkansas at Pine Bluff,Arkansas,4600,4266,,59,38,3,98,9959,8927,9792,11934,9722,16718,,,,,,,69,20,8668,22444,29614,"Public, 4-year or above",Four or more years,Public,1,0,89,2,0,3,2,1,41,0,50,50,,41,33,45,83,100,13469,425,470,525,380,450,520,14,15,18,11,15,19,14,15,17
Arkansas State University-Beebe,Arkansas,,,6200,98,2,0,91,8443,9044,9195,11924,13609,14958,,,,,,,,,3024,16982,18686,"Public, 2-year",At least 2 but less than 4 years,Public,1,1,6,7,0,80,0,1,38,33,33,33,,13,36,41,,100,6434,,,,,,,,,,,,,,,
Arkansas State University,Arkansas,,,10100,81,12,7,98,12011,7737,9470,12927,15472,15842,,,,,,,70,32,7456,24553,30409,"Public, 4-year or above",Four or more years,Public,0,1,14,4,0,70,6,1,53,43,64,64,,43,50,57,29,100,11225,470,550,610,510,550,590,19,22,25,20,23,26,17,21,25
Arkansas Tech University,Arkansas,4990,4317,,94,5,1,71,12016,12444,13060,14438,16451,16016,,,,,,,94,27,8071,22201,28021,"Public, 4-year or above",Four or more years,Public,1,2,6,10,0,74,2,2,49,44,50,52,0,17,54,52,33,95,8440,480,560,620,510,540,560,17,21,24,17,21,25,16,20,24
University of Arkansas at Monticello,Arkansas,3670,3690,,84,15,1,87,12693,11986,11410,12881,14150,13622,,,,,,,,,8431,21773,27623,"Public, 4-year or above",Four or more years,Public,0,1,28,7,0,57,1,1,39,,50,50,,24,41,47,100,100,9286,,,,,,,,,,,,,,,
Arthur's Beauty College,Arkansas,,,,100,0,0,69,,,,,,,11474,11630,,,,,,,,,,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,0,0,27,0,0,73,0,0,50,,,,,,,,,85,6085,,,,,,,,,,,,,,,
Baptist Health College Little Rock,Arkansas,,,,100,0,0,99,,,,,,,,,,,,,86,33,12938,,,"Private not-for-profit, 2-year",At least 2 but less than 4 years,Private not-for-profit,0,1,30,4,0,59,0,1,75,,,,,,,75,,,,,,,,,,,,,,,,,,
Black River Technical College,Arkansas,,,,97,3,0,91,6480,4773,5563,8779,12574,,,,,,,,,,4440,,,"Public, 2-year",At least 2 but less than 4 years,Public,0,1,3,3,0,91,0,1,34,0,33,50,0,50,43,33,,99,7930,,,,,,,,,,,,,,,
University of Central Arkansas,Arkansas,4500,3750,,90,8,2,83,15456,13601,14316,16869,18715,19043,,,,,,,91,30,9778,24648,31598,"Public, 4-year or above",Four or more years,Public,0,2,15,6,0,68,4,2,50,56,77,77,,41,49,54,31,100,8177,460,530,570,480,520,560,19,22,25,18,22,26,17,23,25
Central Baptist College,Arkansas,,,7500,67,28,5,89,,,,,,,18128,16873,18247,18999,20316,22018,64,60,17700,29396,29396,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,1,1,15,9,0,62,5,1,39,100,67,100,50,5,43,45,,93,9788,418,475,525,423,485,558,17,19,24,15,20,25,16,18,23
Cossatot Community College of the University of Arkansas,Arkansas,,,,82,3,0,76,5345,3403,4130,6984,8481,,,,,,,,,,3620,,,"Public, 2-year",At least 2 but less than 4 years,Public,1,0,11,29,0,54,0,0,46,100,0,0,,10,64,43,,94,6717,,,,,,,,,,,,,,,
Crowley's Ridge College,Arkansas,3100,3800,,74,26,0,86,,,,,,,15633,14719,14859,13665,16688,17977,,,15000,26680,26680,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,1,0,15,0,0,83,0,0,31,,,,,33,100,30,,100,8281,,,,,,,,,,,,,,,
East Arkansas Community College,Arkansas,,,,100,0,0,69,8564,8156,8022,10246,9676,,,,,,,,,,2910,,,"Public, 2-year",At least 2 but less than 4 years,Public,0,1,39,3,1,54,0,1,41,,50,50,,37,80,43,0,90,5319,,,,,,,,,,,,,,,
Eastern College of Health Vocations-Little Rock,Arkansas,,,,,,,,,,,,,,,,,,,,,,,,,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paul Mitchell the School-Little Rock,Arkansas,,,,69,29,0,77,,,,,,,19699,20066,20387,24561,25470,25470,,,,,,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,3,1,28,6,0,56,0,1,63,,,,,,,,,93,5879,,,,,,,,,,,,,,,
National Park College,Arkansas,4572,1000,,89,9,1,76,8508,7785,7983,9066,8540,,,,,,,,,,5200,17624,18854,"Public, 2-year",At least 2 but less than 4 years,Public,1,2,9,8,0,77,1,2,26,40,40,40,,18,41,24,50,92,5616,,,,,,,,,,,,,,,
University of Arkansas Community College-Batesville,Arkansas,,,,100,0,0,100,9224,7235,8443,9911,10421,,,,,,,,,,2766,,,"Public, 2-year",At least 2 but less than 4 years,Public,1,1,2,8,0,82,1,1,62,0,100,100,,100,83,58,100,100,5143,,,,,,,,,,,,,,,
Harding University,Arkansas,4208,4818,,28,68,4,89,,,,,,,19558,16656,14654,17597,21294,22536,45,79,23148,35864,35864,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,1,2,7,4,0,79,4,2,69,67,88,88,,42,69,70,82,100,14682,530,590,660,510,570,640,20,24,28,21,24,30,18,23,27
Henderson State University,Arkansas,4700,3600,,81,19,1,74,17656,17580,16525,18779,18918,19916,,,,,,,71,25,7560,27094,29302,"Public, 4-year or above",Four or more years,Public,1,2,22,7,0,63,2,2,39,40,50,50,,25,43,45,17,98,9580,445,490,523,458,505,550,16,19,21,15,19,22,16,18,20
Hendrix College,Arkansas,6900,6700,,44,55,0,100,,,,,,,22626,14694,19080,21365,25471,25807,60,22,35100,52700,52700,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,1,3,7,9,0,69,3,3,69,100,70,70,,81,63,67,100,100,28769,580,620,680,553,610,648,23,26,30,23,26,32,20,24,27
Hot Springs Beauty College,Arkansas,,,,100,0,0,61,,,,,,,12250,12935,12803,,,,,,,,,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,0,0,19,6,0,76,0,0,84,,,,,,,,,83,6120,,,,,,,,,,,,,,,
Jefferson Regional School of Nursing,Arkansas,,,,,,,95,,,,,,,,,,,,,,,,,,"Private not-for-profit, 2-year",At least 2 but less than 4 years,Private not-for-profit,0,1,25,7,0,67,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,
John Brown University,Arkansas,,,9520,39,52,9,73,,,,,,,20997,15284,13907,18506,21807,25124,57,36,29720,43260,43260,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,1,2,3,9,0,69,5,2,71,67,50,50,,50,68,73,80,100,21131,570,620,710,530,590,680,22,25,29,22,25,31,19,24,31
Career Academy of Hair Design,Arkansas,,,,87,13,0,80,,,,,,,12553,12858,11638,17759,,,,,,,,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,4,0,8,22,0,64,0,0,64,,,,,,,,,81,4129,,,,,,,,,,,,,,,
Academy of Salon and Spa,Arkansas,,,,86,14,0,60,,,,,,,15085,14331,15191,15784,17515,17515,,,,,,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,16,1,7,12,0,58,0,1,53,,,,,,,,,88,3596,,,,,,,,,,,,,,,
Arkansas State University Mid-South,Arkansas,,,,86,12,2,71,8483,8011,8314,10155,,,,,,,,,,,2818,,,"Public, 2-year",At least 2 but less than 4 years,Public,1,0,57,4,0,34,1,0,43,100,,,,41,50,38,,100,7990,,,,,,,,,,,,,,,
Arkansas Northeastern College,Arkansas,,,,82,18,0,99,5367,3853,3868,5666,6293,,,,,,,,,,2542,,,"Public, 2-year",At least 2 but less than 4 years,Public,1,1,30,5,0,61,0,1,42,,100,100,,34,69,42,,100,6161,,,,,,,,,,,,,,,
New Tyler Barber College Inc,Arkansas,,,,100,0,0,76,,,,,,,15739,15739,,,,,,,,,,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,0,0,96,4,0,0,0,0,46,,,,,,,,,83,6495,,,,,,,,,,,,,,,
North Arkansas College,Arkansas,4500,,,88,11,1,100,8168,7538,6080,8337,12404,,,,,,,,,,2760,17739,19467,"Public, 2-year",At least 2 but less than 4 years,Public,1,0,2,10,0,81,0,1,32,,0,0,0,50,28,33,100,100,7041,,,,,,,,,,,,,,,
Northwest Technical Institute,Arkansas,,,,98,2,0,87,6316,5563,5969,7641,8243,8405,,,,,,,,,5184,,,"Public, less-than 2-year",Less than 2 years (below associate),Public,1,1,2,37,5,52,0,7,70,,,,,,,,,89,4789,,,,,,,,,,,,,,,
Ouachita Baptist University,Arkansas,4520,4280,,63,35,2,90,,,,,,,21677,20656,20684,21996,24057,24619,72,30,31180,45330,45330,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,1,1,6,5,0,81,2,2,65,50,0,0,,31,64,69,86,100,22181,520,570,610,500,540,590,21,24,28,21,24,29,19,22,26
Arkansas State University Three Rivers,Arkansas,,,,100,0,0,61,4596,3110,,,,,,,,,,,,,3356,,,"Public, 2-year",At least 2 but less than 4 years,Public,2,2,14,8,0,71,0,2,36,0,,,,25,50,40,,100,5887,,,,,,,,,,,,,,,
Ozarka College,Arkansas,3600,,,97,3,0,68,3991,4270,6102,6659,8345,,,,,,,,,,3720,16060,19063,"Public, 2-year",At least 2 but less than 4 years,Public,1,0,1,2,0,95,0,1,47,50,,,,,60,46,,91,6899,,,,,,,,,,,,,,,
University of the Ozarks,Arkansas,3800,4558,,38,39,23,100,,,,,,,16319,12114,12646,14736,18027,20657,60,18,25950,36708,36708,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,1,1,6,13,1,43,28,2,41,75,0,0,0,31,40,39,62,100,19224,490,550,590,470,530,560,19,21,24,18,20,24,16,19,24
University of Arkansas Community College-Morrilton,Arkansas,,,,98,1,1,99,8104,6180,7626,7350,11089,11200,,,,,,,100,48,3336,,,"Public, 2-year",At least 2 but less than 4 years,Public,0,1,8,14,0,71,0,1,36,0,33,33,,12,47,35,100,100,5174,,,,,,,17,19,22,16,19,22,16,18,22
Philander Smith College,Arkansas,5192,3058,,58,33,9,94,,,,,,,15634,17548,15995,17723,17297,24451,,,13014,26212,26212,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,0,85,1,2,1,7,2,30,,0,,0,29,100,,67,94,10317,,,,,,,,,,,,,,,
Phillips Community College of the University of Arkansas,Arkansas,,,,100,0,0,51,3680,3999,4755,7650,8692,,,,,,,,,,3110,,,"Public, 2-year",At least 2 but less than 4 years,Public,0,1,52,4,0,41,0,1,46,100,100,100,,37,100,53,,95,7066,,,,,,,,,,,,,,,
Southeast Arkansas College,Arkansas,,,,94,6,0,98,6617,5231,6598,8238,7493,8301,,,,,,,,,4200,,,"Public, 2-year",At least 2 but less than 4 years,Public,0,1,61,18,0,18,0,1,24,0,50,,50,12,35,38,,100,5204,,,,,,,,,,,,,,,
Professional Cosmetology Education Center,Arkansas,,,,50,50,0,76,,,,,,,11569,11713,,,,,,,,,,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,0,0,30,4,0,48,0,0,44,,,,,,,,,92,4355,,,,,,,,,,,,,,,
University of Arkansas-Pulaski Technical College,Arkansas,,,,100,0,0,72,13324,12131,12043,15012,16393,17079,,,,,,,,,5820,,,"Public, 2-year",At least 2 but less than 4 years,Public,1,2,39,13,0,39,1,2,23,0,36,36,,14,58,30,44,91,7804,,,,,,,,,,,,,,,
University of Arkansas Hope-Texarkana,Arkansas,,,,93,7,0,100,7240,6616,7731,6305,,,,,,,,,,,3250,,,"Public, 2-year",At least 2 but less than 4 years,Public,1,1,28,10,0,57,0,1,42,50,100,,100,23,65,44,,100,7587,,,,,,,,,,,,,,,
University of Arkansas Community College Rich Mountain,Arkansas,5200,3750,,80,18,2,66,5929,4027,3802,5514,8326,,,,,,,,,,3384,17641,17881,"Public, 2-year",At least 2 but less than 4 years,Public,2,1,1,10,0,81,3,1,57,75,,,,33,60,61,38,95,4662,,,,,,,,,,,,,,,
Paul Mitchell the School-Arkansas,Arkansas,,,,83,17,0,51,,,,,,,10290,9079,10235,12866,14975,15574,,,,,,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,8,0,4,17,0,70,0,0,64,,,,,,,,,78,5241,,,,,,,,,,,,,,,
Searcy Beauty College,Arkansas,,,,100,0,0,57,,,,,,,11529,11966,,,,,,,,,,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,1,0,8,4,0,86,0,0,35,,,,,,,,,88,5980,,,,,,,,,,,,,,,
Shorter College,Arkansas,,,,96,2,0,81,,,,,,,13182,13423,16790,,,,,,6246,,,"Private not-for-profit, 2-year",At least 2 but less than 4 years,Private not-for-profit,1,0,74,2,0,23,0,0,11,,,,,12,0,0,,95,6513,,,,,,,,,,,,,,,
Williams Baptist University,Arkansas,,,8980,72,20,7,97,,,,,,,14488,11008,9691,10099,12520,9640,59,26,19450,32790,32790,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,0,7,2,2,79,7,3,45,,0,,0,33,50,53,25,95,16082,415,450,555,545,600,615,18,20,24,16,20,24,17,19,23
South Arkansas Community College,Arkansas,,,,73,27,0,74,5651,5632,,,,,,,,,,,,,3012,,,"Public, 2-year",At least 2 but less than 4 years,Public,1,1,36,6,0,53,1,1,28,,100,100,,18,45,34,20,97,5435,,,,,,,,,,,,,,,
